,Field_ID,Elevation,Latitude,Longitude,Location,Slope,Rainfall,Min_temperature_C,Max_temperature_C,Ave_temps,Soil_Fertility,Soil_Type,pH,Pollution_Level,Plot_Size,Chosen_Crop,Annual_Yield,Standard_Yield
40734,40734,786.0558,-7.38991108,-7.556202472,Rural_Akatsi,14.795113,1125.2,-3.1,33.1,15,0.62,Sandy,6.169393038,0.08526684309,1.3,cassava,0.7513536728,0.5779643637
30629,30629,674.3341,-7.736849459,-1.051539154,Rural_Sokoto,11.374611,1450.7,-3.9,30.6,13.35,0.64,Volcanic,5.676647602,0.3996837617,2.2,cassava,1.069864811,0.4863021866
39924,39924,826.5339,-9.926616371,0.1151559984,Rural_Sokoto,11.339692,2208.9,-1.8,28.4,13.3,0.69,Volcanic,5.331992991,0.358028553,3.4,tea,2.208801077,0.6496473756
5754,5754,574.94617,-2.420131443,-6.592214972,Rural_Kilimani,7.109855,328.8,-5.8,32.2,13.2,0.54,Loamy,5.328149653,0.2866871286,2.4,cassava,1.277635136,0.5323479732
14146,14146,886.353,-3.055434189,-7.952608547,Rural_Kilimani,55.007656,785.2,-2.5,31,14.25,0.72,Sandy,5.721233806,0.0431902746,1.5,wheat,0.8326139708,0.5550759805
5304,5304,850.56647,-2.050664598,-7.13276871,Rural_Kilimani,50.45125,649.4,-3,29.5,13.25,0.7,Sandy,5.484350234,0.1275280259,1.7,potato,1.112610944,0.6544770256
429,429,331.35538,-13.40951724,-6.722848792,Rural_Hawassa,5.907423,1586,-6.8,31.8,12.5,0.63,Silt,7.061316547,4.32E-07,2.9,banana,0.9943251212,0.3428707314
672,672,790.73846,-3.785356493,-1.470468301,Rural_Kilimani,15.380596,1188.3,-3,31,14,0.63,Sandy,4.57704271,0.6131073815,1.4,tea,0.5588991667,0.3992136905
26124,26124,742.7218,-10.2375092,-0.7362161396,Rural_Sokoto,3.4318435,2143.3,-2.6,28.2,12.8,0.66,Volcanic,5.447320502,0.2784792323,13.9,coffee,8.532664596,0.6138607623
44050,44050,747.3803,-3.76733372,-3.105643359,Rural_Kilimani,8.239554,796.6,-3.8,32.7,14.45,0.58,Sandy,4.897414402,0.3103862353,4.6,cassava,2.214679129,0.4814519847
22734,22734,756.9202,-7.538598957,-0.5785546325,Rural_Sokoto,9.371509,1544.7,-3.1,30.5,13.7,0.64,Volcanic,5.831128627,0.4451286628,3.2,coffee,1.516281326,0.4738379143
16655,16655,393.8345,-12.85531697,-8.159820813,Rural_Akatsi,36.34067,1753.3,-6.3,31.8,12.75,0.74,Silt,6.254509163,0.003991820225,1.9,banana,0.9368052485,0.4930553939
32297,32297,660.6827,-2.640910411,-3.839895521,Rural_Kilimani,8.705346,612.7,-4.7,29.8,12.55,0.57,Sandy,5.491848254,0.1890157425,4.2,potato,2.606619085,0.6206235918
24164,24164,790.90894,-8.822721529,-7.421064037,Rural_Akatsi,17.159893,1575,-2.8,31.6,14.4,0.66,Volcanic,5.555430182,0.05162511612,1.1,tea,0.7931933782,0.7210848892
26011,26011,618.16815,-8.813710142,-0.9389237914,Rural_Sokoto,23.239878,1673.9,-4.2,30.9,13.35,0.69,Silt,5.580685569,0.09116490943,1.3,cassava,0.5822603224,0.4478925557
42538,42538,639.52563,-5.916549393,-2.114628172,Rural_Hawassa,0.8549503,913,-4.7,32.4,13.85,0.56,Sandy,5.688561121,0.7038841917,13.1,wheat,4.451767852,0.339829607
4813,4813,808.43085,-8.561391321,-1.974985123,Rural_Sokoto,16.707561,1693.4,-2.4,30,13.8,0.67,Volcanic,3.768237808,0.1008553379,1.2,tea,0.7679065918,0.6399221599
37912,37912,454.19534,-10.37718569,-7.35349482,Rural_Akatsi,9.985941,1700.5,-5.6,31.3,12.85,0.65,Silt,7.196078808,0.03038203537,2.5,banana,0.9603215186,0.3841286075
36614,36614,768.06274,-8.074776452,0.4800297718,Rural_Sokoto,10.411442,1756.8,-2.7,32.4,14.85,0.66,Volcanic,4.434904885,0.1709666478,2.5,tea,1.952492369,0.7809969476
34153,34153,610.994,-6.948353143,-2.96600031,Rural_Hawassa,16.369598,902.8,-4.9,28.4,11.75,0.61,Loamy,4.698948976,0.3034866536,1.5,wheat,0.7911142455,0.527409497
15118,15118,195.87325,-12.71113479,-6.380498091,Rural_Hawassa,10.056667,1575,-8.1,33.9,12.9,0.64,Silt,6.927999151,1.02E-05,4.8,rice,2.305018081,0.4802121002
41199,41199,654.80963,-6.63746031,-2.339858897,Rural_Hawassa,13.94029,1000.2,-4.4,33.6,14.6,0.61,Sandy,6.022460297,0.5807124622,2,cassava,1.065150981,0.5325754905
43441,43441,504.42505,-2.379580204,-7.601248617,Rural_Kilimani,3.906222,335.3,-6.4,32.6,13.1,0.53,Loamy,5.429211595,0.05729111142,7.1,wheat,4.256354047,0.5994864854
19788,19788,775.58325,-4.920791188,-5.245335241,Rural_Kilimani,21.290752,532,-3.8,27.9,12.05,0.6,Sandy,5.570517207,0.2988803088,1.6,potato,0.9809457155,0.6130910722
18871,18871,843.27203,-7.164626418,-7.79494704,Rural_Akatsi,11.813544,1151.4,-2.6,31,14.2,0.62,Sandy,5.478450993,0.1061808523,1.6,cassava,0.9524514845,0.5952821778
41012,41012,690.64,-8.408197751,-4.195760065,Rural_Hawassa,4.2353106,1276,-3.9,29.3,12.7,0.6,Volcanic,4.615958553,0.02889493186,4.2,tea,3.048356317,0.725799123
1603,1603,525.38104,-2.465188375,-5.186775252,Rural_Kilimani,6.8092437,298.6,-6.3,33.8,13.75,0.54,Loamy,6.453104704,0.1925625238,4.8,potato,2.603142913,0.5423214403
33183,33183,792.5747,-3.276213157,-7.335476362,Rural_Kilimani,27.644611,613.9,-3.5,32.2,14.35,0.62,Sandy,5.842696857,0.1053246405,1.6,potato,1.018211447,0.6363821541
314,314,751.3648,-2.956308938,-0.9434284059,Rural_Kilimani,3.2867026,1298.6,-3.3,29.8,13.25,0.6,Volcanic,4.048841634,0.3127831326,11.7,tea,6.796607218,0.5809065998
32300,32300,445.4456,-9.304830705,-6.930061058,Rural_Akatsi,5.848148,1350.4,-6,33.4,13.7,0.61,Peaty,4.70362873,0.03815567,4.1,cassava,1.674793807,0.4084862944
11444,11444,741.3757,-4.650449594,-6.16878121,Rural_Kilimani,7.026868,484.6,-4.1,28.9,12.4,0.55,Sandy,6.082514707,0.2923536827,2.2,wheat,1.201731593,0.5462416333
43912,43912,521.39185,-9.277796545,-5.407501362,Rural_Hawassa,5.194681,1367.4,-5.3,31.9,13.3,0.61,Peaty,5.472009097,0.0487464425,4.6,cassava,2.315977392,0.503473346
40248,40248,680.9076,-6.16436252,-7.511156327,Rural_Amanzi,8.412227,706.5,-4.5,31,13.25,0.57,Sandy,6.134941846,0.4689934225,3.6,wheat,1.782930521,0.4952584781
35014,35014,717.9738,-4.416153546,-2.303821981,Rural_Kilimani,4.5158725,909.5,-3.9,29.9,13,0.57,Sandy,5.959237557,0.4491094339,2.4,wheat,1.103113135,0.4596304731
2593,2593,713.8158,-2.339028965,-7.421064037,Rural_Kilimani,17.381775,534.8,-4.3,30.5,13.1,0.59,Sandy,5.282325165,0.08213172506,1.8,potato,1.131427506,0.6285708366
26750,26750,891.7427,-1.338765067,-1.785791315,Rural_Kilimani,4.546448,1414.4,-1.9,29,13.55,0.61,Volcanic,4.186967881,0.0509331463,2,tea,1.189591085,0.5947955427
21090,21090,700.91864,-3.316764396,-4.646221514,Rural_Kilimani,11.447326,511.2,-4.5,27.4,11.45,0.57,Sandy,5.201757788,0.1676238873,2.8,wheat,1.308275189,0.467241139
18533,18533,572.3282,-9.435495809,-2.560585007,Rural_Hawassa,4.282469,1632.1,-4.6,33.8,14.6,0.63,Silt,6.767187005,0.04046631324,2.4,banana,1.066300305,0.4442917936
17418,17418,550.40393,-7.024949928,-1.21820989,Rural_Sokoto,21.226728,1144.1,-5.3,30.9,12.8,0.64,Loamy,4.680589623,0.7127589134,1.4,wheat,0.5261349023,0.3758106445
19062,19062,659.6165,-8.471277456,-4.686763044,Rural_Hawassa,0.80738175,1237.5,-4.2,31.8,13.8,0.59,Volcanic,5.992704327,0.1140972485,13.5,wheat,7.374862841,0.5462861363
22460,22460,386.93896,-12.05780927,-8.997679108,Rural_Akatsi,4.1579146,1885.8,-5.9,33.3,13.7,0.65,Silt,7.028415323,0.04155834106,4.7,banana,2.0747349,0.4414329574
37828,37828,751.4212,-7.615195742,-7.763414738,Rural_Akatsi,8.986146,1183.5,-3.4,30.8,13.7,0.61,Sandy,6.134573075,0.05917432803,3,cassava,1.711040272,0.5703467572
15949,15949,638.4356,-8.151373237,-5.988596631,Rural_Hawassa,2.4603343,1093.8,-4.5,29.8,12.65,0.58,Sandy,4.911920668,0.3068164643,10.4,wheat,3.750265222,0.3606024252
